source,target,weight
3595,3587,10.906657734009292
3595,3618,7.063306529028856
3538,3577,8.990152520026818
3618,3595,7.063306529028856
4535,4447,10.08387996101964
4535,4447,10.08387996101964
2167,2103,7.317598572039116
3499,3572,10.124603311160724
2103,2167,7.317598572039116
1068,2176,8.494872046523215
2153,2164,9.416034746960673
2176,1068,8.494872046523215
2164,2170,6.477851239627906
3572,3499,10.124603311160724
1068,2092,9.040088359693527
2092,1068,9.040088359693527
2164,2170,6.477851239627906
2164,2153,9.416034746960673
2166,2145,9.056467532421577
2145,2166,9.056467532421577
2095,2141,10.985116767713926
2095,2141,10.985116767713926
4572,4587,10.871492359925869
2095,2169,9.620262508336117
2169,2095,9.620262508336117
4587,4572,10.871492359925869
4474,4442,12.26610266059476
4504,4515,8.359780649534063
4504,4515,8.359780649534063
4474,4442,12.26610266059476
4594,4581,7.949945405283617
4480,4512,12.32397735866254
2171,2096,9.940741161661292
4480,4512,12.32397735866254
4581,4594,7.949945405283617
4618,4514,6.983805901474353
4618,4490,7.063455819209771
4618,4514,6.983805901474353
4490,4514,10.009159193287209
3275,4613,12.015094010495794
2171,2096,9.940741161661292
3275,4613,12.015094010495794
2171,2140,8.964509475454863
4490,4618,7.063455819209771
4616,4490,10.227326086546814
3488,4555,10.84452899894597
3488,4441,10.859509017826053
3488,4555,10.84452899894597
4441,4555,14.699335385547586
2130,2126,12.253807427896993
4595,4441,11.207556215930348
4595,3488,11.349483533823069
4441,3488,10.859509017826053
2126,2105,9.153988403174926
4441,4555,14.699335385547586
2130,2105,9.147244497374173
2130,2126,12.253807427896993
2105,2126,9.153988403174926
2171,2140,8.964509475454863
2130,2105,9.147244497374173
2151,2102,11.222328842264474
3520,3556,7.57243696172134
4595,4441,11.207556215930348
4595,3488,11.349483533823069
3520,3556,7.57243696172134
4617,4612,10.236999946706929
4490,4616,10.227326086546814
4595,4499,10.081809156673575
4595,4499,10.081809156673575
2102,2151,11.222328842264474
3409,4432,11.45521427762977
3409,4432,11.45521427762977
1112,1161,11.371542659979465
1161,1113,13.526503561410182
